motion,0001137A,TIDU_BZ_DMG1,
motion,00011379,TIDU_BZ_KEEPCATCH3,
motion,00011378,TIDU_BZ_KEEPCATCH2,
motion,00011377,TIDU_BZ_SLEEP1,
motion,00011376,TIDU_S_SP0_07,
motion,00011375,TIDU_S_SP4_06,
motion,00011374,TIDU_S_SP4_05,
motion,00011373,TIDU_S_SP4_04,
motion,00011372,TIDU_S_SP4_03,
motion,00011371,TIDU_ORENI_AU,
motion,00011370,TIDU_K_LASDUN_JUMP0,
motion,0001136F,TIDU_WALK_STOP,
motion,0001136E,TIDU_CLUTCH_THE_WAY2,
motion,0001134A,TIDU_SIGN_GIRLS,
motion,00011349,TIDU_SIGN_CHILDREN,
motion,0001134B,TIDU_YAKUSOKU,
motion,00011350,TIDU_RUN_ON_BUILDING,
motion,0001134F,TIDU_GO_OR_DIE,
motion,0001134E,TIDU_LOOK_BUILDING,
motion,0001134D,TIDU_BOMB_BLAST,
motion,0001134C,TIDU_RESIST_OUT,
motion,00011351,TIDU_CLUTCH_THE_WAY,
motion,0001136D,TIDU_S_ESC,
motion,0001136C,TIDU_SP4_07,
motion,0001136B,TIDU_SP4_06,
motion,0001136A,TIDU_SP4_05,
motion,00011369,TIDU_SP4_04,
motion,00011368,TIDU_SP4_03,
motion,00011367,TIDU_SP4_02,
motion,00011366,TIDU_SP4_01,
motion,00011365,TIDU_SP4_00,
motion,00011364,TIDU_BZ_SHOT3,
motion,00011363,TIDU_BZ_SHOT2,
motion,00011362,TIDU_BZ_TACL3,
motion,00011361,TIDU_BZ_TACL2,
motion,00011360,TIDU_BZ_PCT1,
motion,0001135F,TIDU_BZ_PAS5,
motion,0001135E,TIDU_IHEN,
motion,0001135D,TIDU_EV_S_IDLE0,
motion,00011354,TIDU_CHO_HIT_L,
motion,00011353,TIDU_CHO_HIT_R,
motion,0001135C,TIDU_S_SP1_07,
motion,0001135B,TIDU_S_SP1_06,
motion,0001135A,TIDU_S_SP1_05,
motion,00011359,TIDU_S_SP1_04,
motion,00011358,TIDU_S_SP1_03,
motion,00011357,TIDU_S_SP1_02,
motion,00011356,TIDU_S_SP1_01,
motion,00011355,TIDU_S_SP1_00,
motion,00011352,TIDU_FULLTURN_R_JK,
motion,00011348,TIDU_GATE_WAKEUP,
motion,00011347,TIDU_BZ_VOLL0,
motion,00011330,TIDU_VIP_FIGHTING,
motion,00011346,TIDU_EV_IDLE,
motion,00011345,TIDU_EV_IDLE1,
motion,00011344,TIDU_BZ_PCAT2,
motion,00011343,TIDU_BZ_PCAT1,
motion,00011342,TIDU_BZ_PCAT0,
motion,00011341,TIDU_S_GUARD_02,
motion,00011340,TIDU_S_GUARD_01,
motion,0001133F,TIDU_S_GUARD_00,
motion,00011337,TIDU_NANIGOTO,
motion,00011336,TIDU_TUYOKUNARU,
motion,0001133E,TIDU_CHO_HIT,
motion,0001133D,TIDU_S_MGINV_00,
